"Tag Code","Mark File Name","Mark Date MMDDYYYY","Mark Site Name","Release Date MMDDYYYY","Release Site Name","Mark Conditional Comment Name","Mark Conditional Comment Code","SRR Code","SRR Name","SRR Code Code","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Recap Date MMDDYYYY","Recap File Name","Recap Release Date MMDDYYYY","Recap Release Site Name","Recap Site Name","Recap Species Code","Recap Species Name","Recap Run Code","Recap Run Name","Recap Rear Type Code","Recap Rear Type Name","Recap SRR Code","Recap SRR Name","Recap Conditional Comment Name","Recap Conditional Comment Code","Recap Count"
"384.36F2B35572","MRC12276.WT3","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/4/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B35908","MRC12276.WT3","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/10/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B35B8D","MRC12277.WT5","10/3/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/24/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Mature, Recapture, Female, Returning Fish, Radio Tagged","RF MT RE FE RT","1"
"384.36F2B36AD6","MRC12277.WT6","10/3/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/11/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B36EB0","MRC12277.WT6","10/3/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","10/16/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B487E3","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/29/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/11/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B487FB","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/18/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/30/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B4887B","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/20/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","9/26/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Returning Fish, Mature, Male, Recapture","RE RF MT MA","1"
"384.36F2B489EC","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/26/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","7/24/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B48A7D","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/21/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/28/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B48DBC","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/25/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","10/16/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B48FA6","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/27/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/10/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B49260","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/21/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","10/3/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Returning Fish, Mature, Male, Recapture","RE RF MT MA","1"
"384.36F2B4944D","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/29/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","9/5/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RE RF MT FE","1"
"384.36F2B49695","CGS13108.TSH","4/18/2013","WELH - Wells Hatchery","4/19/2013","TWISPP - Twisp Acclimation Pond (WDFW)","Adipose Intact (not clipped), Coded Wire Tag","AI CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/18/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B497F3","CGS-2012-315-MHS.xml","11/10/2012","WELH - Wells Hatchery","5/15/2013","METH - Methow Hatchery","Adipose Fin Clip","AD","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","9/2/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Returning Fish, Mature, Male, Recapture","RE RF MT MA","1"
"384.36F2B49F40","CGS13205.LB1","7/24/2013","TWISPR - Twisp River","7/24/2013","TWISPR - Twisp River","","","32W","Wild Summer Steelhead","32W","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","7/6/2015","NBD-2015-187-PRD.xml","11/6/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","32W","Wild Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B4A37C","CGS13217.BIW","8/5/2013","WEL - Wells Dam","9/17/2013","WELLD2 - WEL - Release into the West Adult Fish Ladder","Adipose Intact (not clipped), Female","AI FE","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","8/25/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RE RF MT FE","1"
"384.36F2B4A458","CGS13231.LBZ","8/19/2013","TWISPR - Twisp River","8/19/2013","TWISPR - Twisp River","","","32W","Wild Summer Steelhead","32W","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","7/6/2015","NBD-2015-187-PRD.xml","8/28/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","32W","Wild Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B4A488","CGS13219.LB2","8/7/2013","TWISPR - Twisp River","8/7/2013","TWISPR - Twisp River","","","32W","Wild Summer Steelhead","32W","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","7/1/2016","NBD-2016-183-PRD.xml","8/3/2016","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","32W","Wild Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B4DA6E","CGS13203.LBZ","7/22/2013","TWISPR - Twisp River","7/22/2013","TWISPR - Twisp River","","","32W","Wild Summer Steelhead","32W","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","7/6/2015","NBD-2015-187-PRD.xml","8/12/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","32W","Wild Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.36F2B4E9CC","CGS13184.MB2","7/3/2013","CHEWUR - Chewuch River","7/3/2013","CHEWUR - Chewuch River","","","32W","Wild Summer Steelhead","32W","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","7/6/2015","NBD-2015-187-PRD.xml","8/14/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","32W","Wild Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.36F2B4EE83","CGS-2012-315-MHS.xml","11/10/2012","WELH - Wells Hatchery","5/15/2013","METH - Methow Hatchery","Adipose Fin Clip","AD","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/7/2014","NBD-2014-188-PRD.xml","9/10/2014","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Returning Fish, Mature, Male, Recapture","RE RF MT MA","1"
"384.3B23981616","MRC12276.WT1","10/2/2012","WINT - Winthrop National Fish Hatchery","4/12/2013","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/10/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.3B23998F8F","MRC13296.WT7","10/23/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/1/2016","NBD-2016-183-PRD.xml","9/9/2016","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.3B23999E53","MRC13295.WT3","10/22/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","8/20/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.3B239A2B67","MRC13296.WT7","10/23/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/14/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Female, Mature, Returning Fish, Recapture","RF MT RE FE","1"
"384.3B239A3B02","MRC13296.WT5","10/23/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/21/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.3B239A4F16","MRC13295.WT2","10/22/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","9/23/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.3B239A4F91","MRC13295.WT2","10/22/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","10/13/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
"384.3B239A6C3B","MRC13296.WT6","10/23/2013","WINT - Winthrop National Fish Hatchery","4/14/2014","WINT - Winthrop National Fish Hatchery","Adipose Fin Clip, Coded Wire Tag","AD CW","32H","Hat. Summer Steelhead","32H","3","Steelhead","2","Summer","H","Hatchery Reared","7/6/2015","NBD-2015-187-PRD.xml","10/8/2015","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","3","Steelhead","2","Summer","H","Hatchery Reared","32H","Hat. Summer Steelhead","Male, Returning Fish, Mature, Recapture","RF MT RE MA","1"
