"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"3DD.003BE6AA41","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/27/2022","7/27/2022 9:51:28 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/27/2022","7/27/2022 9:51:28 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","CGS-2019-323-002.xml","CGS - Charles Snow Projects","Steelhead","Hatchery Reared","WELH","11/19/2019","1"
"3DD.003BE6AEE7","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/23/2022","8/23/2022 9:11:02 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/23/2022","8/23/2022 9:11:02 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD MA RE RF","Returning Fish, Male, Recapture, Adipose Fin Clip","CGS-2019-323-002.xml","CGS - Charles Snow Projects","Steelhead","Hatchery Reared","WELH","11/19/2019","1"
"3DD.003BE6AFE0","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/29/2022","9/29/2022 11:37:10 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/29/2022","9/29/2022 11:37:10 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","CGS-2019-323-002.xml","CGS - Charles Snow Projects","Steelhead","Hatchery Reared","WELH","11/19/2019","1"
"3DD.003D321C01","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/28/2022","7/28/2022 10:17:23 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/28/2022","7/28/2022 10:17:23 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE RE RF","Adipose Intact (not clipped), Female, Recapture, Returning Fish","CSS-2020-054-KAA.xml","CSS - Comparative Survival Study","Steelhead","Wild Fish or Natural Production","METTRP","4/28/2020","1"
"3DD.003D36848F","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/3/2022","8/3/2022 12:41:55 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/3/2022","8/3/2022 12:41:55 PM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE RE RF","Adipose Intact (not clipped), Female, Recapture, Returning Fish","CGS-2019-176-LB1.xml","CGS - Charles Snow Projects","Steelhead","Wild Fish or Natural Production","TWISPR","7/22/2019","1"
"3DD.003D368C6C","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/8/2022","8/8/2022 6:34:54 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/8/2022","8/8/2022 6:34:54 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI MA RE RF","Male, Recapture, Adipose Intact (not clipped), Returning Fish","CGS-2019-176-LB1.xml","CGS - Charles Snow Projects","Steelhead","Wild Fish or Natural Production","TWISPR","7/9/2019","1"
"3DD.003D37CA44","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/8/2022","9/8/2022 9:12:22 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/8/2022","9/8/2022 9:12:22 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD MA RE RF","Returning Fish, Male, Recapture, Adipose Fin Clip","ONS-2019-326-R32.xml","ONS - ODFW Northeast Oregon Steelhead Evaluations","Steelhead","Hatchery Reared","IRRI","11/22/2019","1"
"3DD.003D3A16A0","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/8/2022","8/8/2022 8:16:43 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/8/2022","8/8/2022 8:16:43 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW MA RE RF","Adipose Fin Clip, Coded Wire Tag, Male, Recapture, Returning Fish","MRC-2019-295-WT2.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/22/2019","1"
"3DD.003D3A1D47","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/27/2022","7/27/2022 11:18:41 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/27/2022","7/27/2022 11:18:41 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW FE RE RF","Adipose Fin Clip, Coded Wire Tag, Female, Recapture, Returning Fish","MRC-2019-295-WT2.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/22/2019","1"
"3DD.003D3CFBAA","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/3/2022","8/3/2022 7:37:09 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/3/2022","8/3/2022 7:37:09 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","JDB-2020-041-DAP.xml","JDB - Snake River Lab Projects","Steelhead","Hatchery Reared","LYFE","2/10/2020","1"
"3DD.003D438559","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/22/2022","7/22/2022 11:47:26 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/22/2022","7/22/2022 11:47:26 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW MA RE RF","Adipose Fin Clip, Coded Wire Tag, Male, Recapture, Returning Fish","MRC-2019-296-WT4.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/23/2019","1"
"3DD.003D469DB5","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/8/2022","8/8/2022 6:20:24 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/8/2022","8/8/2022 6:20:24 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW FE RE RF","Adipose Fin Clip, Coded Wire Tag, Female, Recapture, Returning Fish","MRC-2019-296-WT3.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/23/2019","1"
"3DD.003D46B5C9","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/2/2022","9/2/2022 10:06:07 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/2/2022","9/2/2022 10:06:07 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW FE RE RF","Adipose Fin Clip, Coded Wire Tag, Female, Recapture, Returning Fish","MRC-2019-296-WT4.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/23/2019","1"
"3DD.003D46B9A1","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/20/2022","9/20/2022 9:03:52 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/20/2022","9/20/2022 9:03:52 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW FE RE RF","Adipose Fin Clip, Coded Wire Tag, Female, Recapture, Returning Fish","MRC-2019-296-WT3.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/23/2019","1"
"3DD.003D4FF093","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/12/2022","9/12/2022 10:32:30 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/12/2022","9/12/2022 10:32:30 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW FE RE RF","Coded Wire Tag, Returning Fish, Female, Adipose Intact (not clipped), Recapture","RED-2020-321-R11.xml","RED - Rhonda Dasher Projects","Steelhead","Hatchery Reared","WELH","11/16/2020","1"
"3DD.003D54D146","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/6/2022","9/6/2022 7:25:16 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/6/2022","9/6/2022 7:25:16 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD MA RE RF","Returning Fish, Male, Recapture, Adipose Fin Clip","RED-2020-321-R09.xml","RED - Rhonda Dasher Projects","Steelhead","Hatchery Reared","WELH","11/16/2020","1"
"3DD.003D552F68","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/1/2022","8/1/2022 10:00:08 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/1/2022","8/1/2022 10:00:08 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE RE RF","Adipose Intact (not clipped), Female, Recapture, Returning Fish","SMP-2020-137-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","5/16/2020","1"
"3DD.003D552F68","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/5/2022","8/5/2022 8:25:02 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/5/2022","8/5/2022 8:25:02 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE RE RF","Adipose Intact (not clipped), Female, Recapture, Returning Fish","SMP-2020-137-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","5/16/2020","1"
"3DD.003D55317E","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","10/26/2022","10/26/2022 5:32:14 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","10/26/2022","10/26/2022 5:32:14 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD MA RE RF","Returning Fish, Male, Recapture, Adipose Fin Clip","SMP-2020-135-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","5/14/2020","1"
"3DD.003D556A67","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/25/2022","7/25/2022 7:44:26 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/25/2022","7/25/2022 7:44:26 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","SMP-2020-123-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","5/2/2020","1"
"3DD.003D556BD6","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/28/2022","9/28/2022 9:30:26 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/28/2022","9/28/2022 9:30:26 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","SMP-2020-122-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","5/1/2020","1"
"3DD.003D608B74","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/17/2022","8/17/2022 12:43:28 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/17/2022","8/17/2022 12:43:28 PM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","CW MA RE RF","Returning Fish, Male, Recapture, Coded Wire Tag","CME-2020-055-001.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","2/28/2020","1"
"3DD.003D60F2B0","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/15/2022","8/15/2022 7:33:42 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/15/2022","8/15/2022 7:33:42 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW DB FE RE RF","Adipose Intact (not clipped), Coded Wire Tag, Double PIT-tagged, Female, Recapture, Returning Fish","CME-2020-055-001.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","2/26/2020","1"
"3DD.003D60F706","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/15/2022","7/15/2022 5:39:38 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/15/2022","7/15/2022 5:39:38 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW FE RE RF","Coded Wire Tag, Returning Fish, Female, Adipose Intact (not clipped), Recapture","CME-2020-055-001.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","2/25/2020","1"
"3DD.003D616AF5","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/1/2022","8/1/2022 9:17:33 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/1/2022","8/1/2022 9:17:33 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW MA RE RF","Recapture, Adipose Intact (not clipped), Coded Wire Tag, Male, Returning Fish","CME-2020-069-002.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","3/16/2020","1"
"3DD.003D617263","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/28/2022","9/28/2022 10:20:55 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/28/2022","9/28/2022 10:20:55 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW MA RE RF","Recapture, Adipose Intact (not clipped), Coded Wire Tag, Male, Returning Fish","CME-2020-069-002.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","3/18/2020","1"
"3DD.003D63FD4E","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/19/2022","9/19/2022 1:07:41 PM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/19/2022","9/19/2022 1:07:41 PM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AI CW FE RE RF","Coded Wire Tag, Returning Fish, Female, Adipose Intact (not clipped), Recapture","CME-2020-055-002.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","2/25/2020","1"
"3DD.003D645150","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","7/18/2022","7/18/2022 8:14:52 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","7/18/2022","7/18/2022 8:14:52 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW FE RE RF","Adipose Fin Clip, Coded Wire Tag, Female, Recapture, Returning Fish","CME-2020-069-001.xml","CME - Chelan PUD Monitoring and Evaluation","Steelhead","Hatchery Reared","CHIP","3/11/2020","1"
"3DD.003D6777DC","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/7/2022","9/7/2022 9:30:39 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/7/2022","9/7/2022 9:30:39 AM","Wild Fish or Natural Production","W","3","Steelhead","32W","Wild Summer Steelhead","AI FE RE RF","Adipose Intact (not clipped), Female, Recapture, Returning Fish","SMP-2020-134-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Unknown","RIS","5/13/2020","1"
"3DD.003D67A89E","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/24/2022","8/24/2022 9:45:02 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/24/2022","8/24/2022 9:45:02 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","SMP-2020-115-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","4/24/2020","1"
"3DD.003D67A8B7","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","9/29/2022","9/29/2022 10:43:45 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","9/29/2022","9/29/2022 10:43:45 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD FE RE RF","Female, Adipose Fin Clip, Recapture, Returning Fish","SMP-2020-113-RI2.xml","SMP - Smolt Monitoring Program","Steelhead","Hatchery Reared","RIS","4/22/2020","1"
"3DD.003D6987F4","CME-2022-192-PRD.xml","Recapture","Adult Passage Ladder","LADDER","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","PRDLD1","8/24/2022","8/24/2022 4:56:30 AM","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","8/24/2022","8/24/2022 4:56:30 AM","Hatchery Reared","H","3","Steelhead","32H","Hat. Summer Steelhead","AD CW FE RE RF","Adipose Fin Clip, Coded Wire Tag, Female, Recapture, Returning Fish","MRC-2020-303-WT8.xml","MRC - Matt Cooper Projects","Steelhead","Hatchery Reared","WINT","10/30/2020","1"
