site_code,node,site_name,site_type,rkm
LEA,JDA,Leaburg Dam,MRR,163.282.056
LEAB,JDA,Leaburg Hatchery,MRR,163.282.056
LEABYP,JDA,LEA - Release into the Facility Bypass Flume/Pipe,MRR,163.282.056
LEAFBY,JDA,LEA - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.282.056
LEATAL,JDA,LEA - Release into the Tailrace within 0.5 km downstream of Dam,MRR,163.282.056
LEB,JDA,Lebanon Dam,MRR,163.174.019.032
LEBFBY,JDA,LEB - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.174.019.032
LEBLDS,JDA,LEB - Release into the south ladder trap.,MRR,163.174.019.032
LEL,JDA,Leaburg Dam Fish Ladders,INT,163.282.056
LEWCLK,JDA,"Lewis and Clark River, tributary to Youngs Bay",MRR,008.003
LEWH,JDA,Lewis River Hatchery,MRR,140.025
LEWIEF,JDA,East Fork Lewis River,MRR,140.006
LEWISP,JDA,Lewis River Release Pond,MRR,140.014
LEWISR,JDA,Lewis River,MRR,140
LFF,JDA,Lyle Falls Fishway,INT,290.004
LILYSL,JDA,"Lily Slough, Lower Columbia",MRR,139.000
LKLICR,JDA,Little Klickitat River,MRR,290.033
LKR,JDA,Little Klickitat River Array,INT,290.033.001
LMEMIS,JDA,"Little Memaloose Island, Columbia River",MRR,314
LMILIS,JDA,"Little Miller Island, Columbia River",MRR,331
LNSANR,JDA,Little North Santiam River,MRR,163.174.019.044
LOGCC,JDA,"Logging Camp Creek, Klickitat River",MRR,290.015
LOP,JDA,"Lookout Point Dam (USACE), MF Willamette River",MRR,163.301.032
LOPTAL,JDA,LOP - Release into the Tailrace within 0.5 km downstream of Dam,MRR,163.301.032
LRH,JDA,Lewis River Hatchery Returns,INT,140.025
LWL,JDA,Ltl. White Salmon NFH returns,INT,261.003
LWSALR,JDA,Little White Salmon River,MRR,261
LWSH,JDA,Little White Salmon National Fish Hatchery,MRR,261.002
LYLFAT,JDA,"Lyle Falls Adult Fish Trap, Klickitat River",MRR,290.004
MARI,JDA,Marion Forks Fish Hatchery,MRR,163.174.019.115.001
MARIOC,JDA,"Marion Creek, tributary to North Santiam River",MRR,163.174.019.115
MASON,JDA,"Mason Creek, tributary to East Fork Lewis River",MRR,140.006.009
MCKA2C,JDA,"McKay Creek, Crooked River",MRR,328.177.072
MCKA2P,JDA,"Acclimation Pond on McKay Creek , tributary to Crooked River in the Deschutes River Basin",MRR,328.177.072.000
MCKE,JDA,McKenzie Hatchery,MRR,163.282.053
MCKER,JDA,McKenzie River,MRR,163.282
MCKESF,JDA,South Fork McKenzie River,MRR,163.282.090
MEG,JDA,Megler Cr.-Col. R. Estuary,INT,013.000
MEGC,JDA,"Megler Creek, tributary to Columbia River",MRR,013
METOLR,JDA,Metolius River,MRR,328.177
MFD,JDA,Mayfield Dam,MRR,111.085
MFDFTF,JDA,Mayfield Dam Entrance to Counting House Raceways,MRR,111.085
MFDLBN,JDA,Mayfield Dam North Louver Bay,MRR,111.085
MFDLBS,JDA,Mayfield Dam South Louver Bay,MRR,111.085
MFDSEP,JDA,Mayfield Dam Secondary Separator Downwell,MRR,111.085
MHP,JDA,Merwin Hydroeletric Project,INT,140.031
MHP,JDA,Merwin Hydroelectric Project,MRR,140.031
MHPFBY,JDA,MHP - Release into the Forebay within 0.5 km upstream of Dam,MRR,140.031
MHPTAL,JDA,MHP - Release into the Tailrace within 0.5 km downstream of Dam,MRR,140.031
MILL3C,JDA,"Mill Creek, Columbia River at The Dalles, OR",MRR,304
MILL4C,JDA,"Mill Creek, Lower Columbia River, Washington",MRR,087
MIN,JDA,"Mine Reach of Wind River, WA",INT,251.036
MINTO,JDA,Minto Fish Facility,MRR,163.174.019.069
ML1,JDA,Lower Mill Creek (MILL4C),INT,087.001
MLAK2C,JDA,"Middle Fork Lake Creek, Metolius River watershed",MRR,328.177.061.003
MLRSNI,JDA,"Miller Sands Island, Columbia River Estuary",MRR,038
MOLALR,JDA,Molalla River,MRR,163.057
MOLRNF,JDA,North Fork Molalla River,MRR,163.057.041
MSANTR,JDA,"Middle Santiam River, Oregon",MRR,163.174.019.064
MSLA2C,JDA,"Middle Fk South Fk Lake Creek, Metolius River watershed",MRR,328.177.061
MTD,JDA,Mill Creek at The Dalles,INT,304.003
MUDDYP,JDA,Muddy River Acclimation Pond,MRR,140.087.008
MUDDYR,JDA,Muddy River - tributary to Lewis River,MRR,140.087
MULTCH,JDA,"Multnomah Channel, Columbia River",MRR,139
MULTMA,JDA,"Multnomah Channel Marsh, Lower Wilamette",MRR,139.125
MVF,JDA,Moving Falls Fish Ladder,INT,273.020.004
MVFLAP,JDA,"Moving Falls Acc. Ponds, WF Hood River",MRR,273.020.004
NEALC,JDA,"Neal Creek, tributary to Hood River (OR)",MRR,273.007
NSANTR,JDA,"North Santiam River, Oregon",MRR,163.174.019
NSB,JDA,N Santiam at Upper Bennett Dam,INT,163.174.019.030
NSCAPC,JDA,North Scappoose Creek,MRR,139.003.004.009
NSM,JDA,Minto Dam Ladder N Santiam R,INT,163.174.019.069
NSS,JDA,North Santiam at Stayton Canal,INT,163.174.019.027
OCHOCC,JDA,"Ochoco Creek, Crooked River",MRR,328.177.072
ONTAC,JDA,"Oneonta Creek, Lower Columbia",MRR,222
PANT2C,JDA,"Panther Creek (trib. to Wind River, Wash.)",MRR,251.007
PARK,JDA,Parkdale Hatchery,MRR,273.023.005.000
PD5,JDA,Columbia River Estuary rkm 62,INT,062
PD6,JDA,Columbia River Estuary rkm 68,INT,068
PD7,JDA,Columbia River Estuary rkm 70,INT,070
PD8,JDA,Columbia River Estuary rkm 82,INT,082
PEL,JDA,Pelton Dam Ladder - Deschutes,INT,328.161
PELTON,JDA,Pelton Ladder (Deschutes River) Acclimation Pond,MRR,328.161
PER,JDA,Pelton Reregulating Dam,MRR,328.161
PERAFT,JDA,PER - Adult Fish Trap,MRR,328.161
PERTAL,JDA,PER - Release into the Tailrace within 0.5 km downstream of Dam,MRR,328.161
PIER3,JDA,"Pier 3 boat yard, Port of Astoria, OR ",MRR,19
PINHC,JDA,Pinhead Creek - Clackamas Subbasin,MRR,163.040.109
PWD,JDA,"Powerdale Dam, Hood River",MRR,273.007
PWDFBY,JDA,PWD - Release into the Forebay within 0.5 km upstream of Dam,MRR,273.007
QUARTC,JDA,"Quartzville Creek, tributary to Middle Santiam River",MRR,163.174.019.064.014
RAMSYC,JDA,"Ramsey Creek, Fifteen Mile Creek Watershed",MRR,309.056
RATTLC,JDA,Rattlesnake Creek,MRR,271.012
RBF,JDA,Round Butte Fish Xfer Facility,INT,328.177
RCX,JDA,Rattlesnake Creek Flat Plates,INT,271.012.000
RGRSPC,JDA,"Roger's Spring Creek, Middle Fork Hood River",MRR,273.023.005
RICEIS,JDA,Rice Island,MRR,034
ROCKC,JDA,"Rock Creek, tributary to East Fork Lewis River",MRR,140.006.042
ROU,JDA,Round Butte Dam,MRR,328.177
ROUFTF,JDA,ROU - Release into the Fish Transfer Facility,MRR,328.177
ROUTAL,JDA,ROU - Release into the Tailrace within 0.5 km downstream of Dam,MRR,328.177
RSSNIS,JDA,"Russian Island, Columbia River Estuary",MRR,036
SANTIR,JDA,"Santiam River, Oregon",MRR,163.174
SBSLMA,JDA,"Steamboat Slough Marsh, Lower Columbia",MRR,055
SCAPPB,JDA,"Scappoose Bay, Oregon",MRR,139.003
SCAPPC,JDA,Scappoose Creek,MRR,139.003.004
SCHAFC,JDA,"Schafer Creek, Klickitat River Basin",MRR,290.063.003
SCL,JDA,Spring Creek NFH Adult Ladder,INT,269
SERH,JDA,"Sea Resources Hatchery (Chinook River, Washington)",MRR,006.006
SFL,JDA,Shipherd Falls Ladder,INT,251.002
SHERFT,JDA,"Sherars Falls Fishway Trap, Deschutes River",MRR,328.071
SHK,JDA,Shitike Creek PIT Array,INT,328.155.001
SHP,JDA,Swift Hydroelectric Project,INT,140.070
SHP,JDA,Swift Hydroelectric Project,MRR,140.070
SHPFBY,JDA,SHP - Release into the Forebay within 0.5 km upstream of Dam,MRR,140.070
SHPTAL,JDA,SHP - Release into the Tailrace within 0.5 km downstream of Dam,MRR,140.070
SHTIKC,JDA,"Shitike Creek, Deschutes River Basin",MRR,328.155
SID,JDA,Sauvie Island Dairy Creek,INT,156.000
SKAM,JDA,"Skamania Hatchery, WDFW",MRR,193.024.001
SKIPAR,JDA,Skipanon River,MRR,013.003
SKIPAW,JDA,Skipanon Waterway,MRR,013
SND,JDA,Sandtrap Acclimation Site,INT,273.023.033
SNDTAP,JDA,"Sandtrap Acc. Ponds, EF Hood River",MRR,273.023.010
SNYDEC,JDA,"Snyder Creek, Klickitat River",MRR,290.023
SPRC,JDA,Spring Creek National Fish Hatchery,MRR,269
SSANTR,JDA,"South Santiam River, Oregon",MRR,163.174.019
SUC,JDA,"Summit Creek, Klickitat",INT,290.060.001
SUJ,JDA,Sullivan Dam Juvenile,INT,163.043
SUL,JDA,"Sullivan Hydroelectric Plant, Willamette Falls",MRR,163.043
SULBPS,JDA,SUL - Release into the PIT-Tag Diversion System between the Diversion Gate and the furthest downstream PIT-Tag Detector,MRR,163.043
SULBYP,JDA,SUL - Release into the Facility Bypass Flume/Pipe,MRR,163.043
SULFBY,JDA,SUL - Release into the Forebay within 0.5 km upstream of Dam,MRR,163.043
SULFDS,JDA,SUL - Release above the Fish Diversion Screen,MRR,163.043
SULSEP,JDA,SUL - Release into the Flume downsteam of the Collection/Bypass Gate or into the Separator,MRR,163.043
SULTRB,JDA,SUL - Release into Turbine(s),MRR,163.043
SUMI3C,JDA,"Summit Creek, Klickitat River Basin",MRR,290.060
SWALEC,JDA,Swale Creek - tributary to Klickitat River,MRR,290.028
SWC,JDA,Swale Creek Array,INT,290.028.001
SYC,JDA,Snyder Creek PIT Tag Array,INT,290.023.001
